Пункт ТУ;Метод;Процедура;Параметры;Воздействие/доказательство;Возможности оборудования;Допуск/критерий;Текущий статус
1.1.4.13;5.6;ubsi.readiness;готовность УБСИ;холодное включение 27 В;power.dc_supply + ulk.parameter_source;не более 30 с;реализовано, требуется контрольный прогон полного current сценария на стенде
1.1.4.3, 1.1.4.5;5.6;ubsi.supply_range;диапазон питания и общий ток всего УБСИ;24/27/35 В, 19 В 5 мин, 37 В 1 мин;power.dc_supply;24–35 В: измеренный общий ток не более 0,4 А, после 19/37 В восстановление работоспособности;реализовано как whole-UBSI measurement, защитная уставка АКИП 0,6 А отделена от нормативного критерия 0,4 А, поканального тока нет
1.1.4.2;5.6;нет автоматической процедуры;питание датчиков / нагрузочный ток;автоматические 350/450 мА не выполняются;в текущей аппаратуре нет подтверждённого поканального измерительного тракта;автоматический нормативный verdict не формируется;схема автоматического контроля отвергнута, возможна будущая ручная форма записи, ожидаемое изменение ТУ руководством пока не считается утверждённой редакцией
1.1.4.4;5.6;нет;разобщённость цепей питания от корпуса;не выполняется;нет шага current TU run;НЕ ПРОВЕРЯЕТСЯ;исключено из текущего acceptance backend, external evidence не требуется
1.1.4.1, 1.1.4.14;5.6;yalk.read_calibration + yalk.check_channels;аналоговые каналы ЯЛК, 80 рабочих адресов;0/3,1/6,2 В через ИСД;stand.switch_matrix + measure.reference_voltage + ulk.parameter_source;±0,5 % шкалы 6,2 В;реализовано, калибровка 97/99
1.1.4.1;5.6;yalk.check_channels;контактные пороги 80 рабочих адресов;0/0,9/2,5 В через ИСД;stand.switch_matrix + measure.reference_voltage + ulk.parameter_source;0 В -> 0, 0,9 В -> 0, 2,5 В -> 1;включено в current полный сценарий
1.1.4.10;5.6;yalk.check_initial_state;обрыв функционального аналогового входа;отключённый вход;stand.switch_matrix + ulk.parameter_source;напряжение ниже 0 В;реализовано для текущей карты рабочих адресов
1.1.4.11;5.6;yalk.check_overload;защита от перегрузки;последовательно +12 В / -12 В на физические каналы 1–88;stand.switch_matrix + ulk.parameter_source;остальные каналы сохраняют работоспособность, текущий backend сравнивает изменение кодов по принятой карте;реализовано, требуется контрольный полный прогон на стенде
1.1.4.9;5.6;ubsi.reference_voltage;эталон 6,2 В;В7 + значение адреса ЯЛК после калибровки 97/99;measure.reference_voltage + ulk.parameter_source;6,20 ± 0,03 В;В7-проверка реализована, адрес телеметрического эталона в каталоге остаётся commissioning-привязкой и при неподтверждённом binding не подменяется внешним evidence
1.1.4.1, 1.1.4.14;5.6;ytp.start_stream + ytp.read_calibration + ytp.check_channels;термосопротивления, 30 каналов;ручной Р4831 на общем X123, точки 0/120/240 Ом;operator.manual_input + ulk.parameter_source;±0,5 % шкалы 240 Ом = ±1,2 Ом;реализовано, слова 1–30 и калибровки 32/31, пункт 1.1.4.6 к ЯТП не относится
1.1.4.6;5.6;нет;50-метровая линия термодатчика;не выполняется;нет аппаратного шага current run;НЕ ПРОВЕРЯЕТСЯ;полностью исключено из current backend и acceptance gates
1.1.4.1, 1.1.4.7, 1.1.4.8, 1.1.4.14;5.6;ubsi.yvp;ЯВП-8: 8 пьезоэлектрических каналов, коэффициенты и АЧХ;Rigol -> 1000 пФ -> ЯВП -> ЯЛК 89–96 -> UDP, частоты 0,15/20/250/500/1800/2000/4000 Гц;signal.generator + measure.reference_ac_voltage + measure.reference_frequency + ulk.parameter_source;быстроменяющиеся параметры ±7 %, зоны АЧХ ±10/±5/±10 %, затухание 2Fв+ по утверждённой конфигурации;backend и математика реализованы, активный Rigol fail-safe заблокирован до commissioning yvp_input/yvp_gain, Uout model, Aref и точной границы затухания
1.1.4.14;5.6;нет автоматической процедуры;входной ток отдельного канала <=2 мкА;не выполняется;ЯЛК, В7 и АКИП не дают достоверного поканального измерения этого тока;автоматический normative verdict не формируется;общий ток УБСИ не используется как подмена, возможна будущая ручная запись, ожидаемое изменение ТУ пока не подтверждено официальной редакцией
1.1.4.12;5.5;нет шага current 5.6;сопротивление изоляции;отдельная методика 5.5 вне текущего автоматизированного run;текущий стендовый backend 5.6 не выполняет этот метод;не менее 20 МОм по проекту ТУ;не входит в current MVP и не закрывается external evidence
