Этап;Параметр;Наименование;Измерено;Единица;Нижняя граница;Верхняя граница;Результат;Атрибуты
"readiness";"ubsi.ready_time";"Время готовности";2.94169;"с";0;30;"OK";""
"supply_range";"ubsi.supply.voltage";"Фактическое питание при уставке 24.000000 В";23.989;"В";23.5;24.5;"OK";"setpoint_v=24.000000; supply_current_a=0.177000"
"supply_range";"ubsi.supply.total_current";"Общий ток потребления УБСИ при 24.000000 В";0.177;"А";0;0.4;"OK";"hardware_current_limit_a=0.600000; measurement_scope=whole_ubsi; setpoint_v=24.000000"
"supply_range";"ubsi.supply.data_alive";"Передача данных при 24.000000 В";1;"лог.";1;1;"OK";""
"supply_range";"ubsi.supply.voltage";"Фактическое питание при уставке 27.000000 В";26.979;"В";26.5;27.5;"OK";"setpoint_v=27.000000; supply_current_a=0.160000"
"supply_range";"ubsi.supply.total_current";"Общий ток потребления УБСИ при 27.000000 В";0.16;"А";0;0.4;"OK";"hardware_current_limit_a=0.600000; measurement_scope=whole_ubsi; setpoint_v=27.000000"
"supply_range";"ubsi.supply.data_alive";"Передача данных при 27.000000 В";1;"лог.";1;1;"OK";""
"supply_range";"ubsi.supply.voltage";"Фактическое питание при уставке 35.000000 В";35.009;"В";34.5;35.5;"OK";"setpoint_v=35.000000; supply_current_a=0.136000"
"supply_range";"ubsi.supply.total_current";"Общий ток потребления УБСИ при 35.000000 В";0.136;"А";0;0.4;"OK";"hardware_current_limit_a=0.600000; measurement_scope=whole_ubsi; setpoint_v=35.000000"
"supply_range";"ubsi.supply.data_alive";"Передача данных при 35.000000 В";1;"лог.";1;1;"OK";""
"yalk_calibration";"ubsi.yalk.calibration";"Опорное воздействие калибровки ЯЛК";6.14548;"В";5.5;6.8;"OK";"full_address=99; full_code=923.000000; scale_voltage_v=6.200000; stimulus_command_v=6.200000; v7_v=6.145482; zero_address=97; zero_code=124.812500"
"yalk_initial";"ubsi.yalk.initial.1";"ЯЛК адрес 1: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=1; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.1";"ЯЛК адрес 1: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.2";"ЯЛК адрес 2: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=2; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.2";"ЯЛК адрес 2: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.3";"ЯЛК адрес 3: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=3; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.3";"ЯЛК адрес 3: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.4";"ЯЛК адрес 4: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=4; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.4";"ЯЛК адрес 4: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.5";"ЯЛК адрес 5: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=5; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.5";"ЯЛК адрес 5: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.6";"ЯЛК адрес 6: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=6; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.6";"ЯЛК адрес 6: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.7";"ЯЛК адрес 7: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=7; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.7";"ЯЛК адрес 7: исходный сигнал";1;"лог.";1;1;"OK";""
