Этап;Параметр;Наименование;Измерено;Единица;Нижняя граница;Верхняя граница;Результат;Атрибуты
"readiness";"ubsi.ready_time";"Время готовности";2.9096;"с";0;30;"НОРМА";""
"isd_startup_baseline";"ubsi.isd.addressed_baseline";"Адресная стартовая очистка ИСД";234;"команд";234;234;"НОРМА";"analog_type1_contacts=1-96; global_reset_used=false; isd_command_gap_ms=30; type2_contacts=1-40; type3_contacts=1-96"
"sensor_supply_unloaded";"ubsi.sensor_supply_unloaded.89";"Питание датчиков X1/36";6.12393;"В";6;6.4;"НОРМА";"connector=X1; isd_channel=89; isd_type=3; load=none; pin=36; v7_v=6.123926"
"sensor_supply_unloaded";"ubsi.sensor_supply_unloaded.90";"Питание датчиков X1/37";6.12451;"В";6;6.4;"НОРМА";"connector=X1; isd_channel=90; isd_type=3; load=none; pin=37; v7_v=6.124506"
"sensor_supply_unloaded";"ubsi.sensor_supply_unloaded.91";"Питание датчиков X2/36";6.12402;"В";6;6.4;"НОРМА";"connector=X2; isd_channel=91; isd_type=3; load=none; pin=36; v7_v=6.124019"
"sensor_supply_unloaded";"ubsi.sensor_supply_unloaded.92";"Питание датчиков X2/37";6.12341;"В";6;6.4;"НОРМА";"connector=X2; isd_channel=92; isd_type=3; load=none; pin=37; v7_v=6.123411"
"sensor_supply_unloaded";"ubsi.sensor_supply_unloaded.93";"Питание датчиков X3/36";6.12476;"В";6;6.4;"НОРМА";"connector=X3; isd_channel=93; isd_type=3; load=none; pin=36; v7_v=6.124757"
"sensor_supply_unloaded";"ubsi.sensor_supply_unloaded.94";"Питание датчиков X3/37";6.12439;"В";6;6.4;"НОРМА";"connector=X3; isd_channel=94; isd_type=3; load=none; pin=37; v7_v=6.124388"
"yalk_calibration";"ubsi.yalk.calibration";"Опорное воздействие калибровки ЯЛК";6.33544;"В";5.5;6.8;"НОРМА";"full_address=99; full_code=925.562500; scale_voltage_v=6.200000; stimulus_command_v=6.200000; v7_v=6.335436; zero_address=97; zero_code=125.000000"
"yalk_initial";"ubsi.yalk.initial.1";"ЯЛК адрес 1: обрыв";-0.968069;"В";-6.2;-1e-12;"НОРМА";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=1; yalk_v=-0.968069"
"yalk_initial";"ubsi.yalk.signal.1.open";"ЯЛК адрес 1: сухой контакт разомкнут";1;"лог.";1;1;"НОРМА";"contact_mode=Разомкнуто; expected_signal=1; section=YALK; ulk_address=1"
"yalk_initial";"ubsi.yalk.initial.2";"ЯЛК адрес 2: обрыв";-0.968069;"В";-6.2;-1e-12;"НОРМА";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=2; yalk_v=-0.968069"
"yalk_initial";"ubsi.yalk.signal.2.open";"ЯЛК адрес 2: сухой контакт разомкнут";1;"лог.";1;1;"НОРМА";"contact_mode=Разомкнуто; expected_signal=1; section=YALK; ulk_address=2"
"yalk_initial";"ubsi.yalk.initial.3";"ЯЛК адрес 3: обрыв";-0.968069;"В";-6.2;-1e-12;"НОРМА";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=3; yalk_v=-0.968069"
"yalk_initial";"ubsi.yalk.signal.3.open";"ЯЛК адрес 3: сухой контакт разомкнут";1;"лог.";1;1;"НОРМА";"contact_mode=Разомкнуто; expected_signal=1; section=YALK; ulk_address=3"
"yalk_initial";"ubsi.yalk.initial.4";"ЯЛК адрес 4: обрыв";-0.968069;"В";-6.2;-1e-12;"НОРМА";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=4; yalk_v=-0.968069"
"yalk_initial";"ubsi.yalk.signal.4.open";"ЯЛК адрес 4: сухой контакт разомкнут";1;"лог.";1;1;"НОРМА";"contact_mode=Разомкнуто; expected_signal=1; section=YALK; ulk_address=4"
"yalk_initial";"ubsi.yalk.initial.5";"ЯЛК адрес 5: обрыв";-0.968069;"В";-6.2;-1e-12;"НОРМА";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=5; yalk_v=-0.968069"
"yalk_initial";"ubsi.yalk.signal.5.open";"ЯЛК адрес 5: сухой контакт разомкнут";1;"лог.";1;1;"НОРМА";"contact_mode=Разомкнуто; expected_signal=1; section=YALK; ulk_address=5"
"yalk_initial";"ubsi.yalk.initial.6";"ЯЛК адрес 6: обрыв";-0.968069;"В";-6.2;-1e-12;"НОРМА";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=6; yalk_v=-0.968069"
"yalk_initial";"ubsi.yalk.signal.6.open";"ЯЛК адрес 6: сухой контакт разомкнут";1;"лог.";1;1;"НОРМА";"contact_mode=Разомкнуто; expected_signal=1; section=YALK; ulk_address=6"
"yalk_initial";"ubsi.yalk.initial.7";"ЯЛК адрес 7: обрыв";-0.968069;"В";-6.2;-1e-12;"НОРМА";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=7; yalk_v=-0.968069"
"yalk_initial";"ubsi.yalk.signal.7.open";"ЯЛК адрес 7: сухой контакт разомкнут";1;"лог.";1;1;"НОРМА";"contact_mode=Разомкнуто; expected_signal=1; section=YALK; ulk_address=7"
"yalk_initial";"ubsi.yalk.initial.8";"ЯЛК адрес 8: обрыв";-0.968069;"В";-6.2;-1e-12;"НОРМА";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=8; yalk_v=-0.968069"
"yalk_initial";"ubsi.yalk.signal.8.open";"ЯЛК адрес 8: сухой контакт разомкнут";1;"лог.";1;1;"НОРМА";"contact_mode=Разомкнуто; expected_signal=1; section=YALK; ulk_address=8"
"yalk_initial";"ubsi.yalk.initial.9";"ЯЛК адрес 9: обрыв";-0.968069;"В";-6.2;-1e-12;"НОРМА";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=9; yalk_v=-0.968069"
"yalk_initial";"ubsi.yalk.signal.9.open";"ЯЛК адрес 9: сухой контакт разомкнут";1;"лог.";1;1;"НОРМА";"contact_mode=Разомкнуто; expected_signal=1; section=YALK; ulk_address=9"
"yalk_initial";"ubsi.yalk.initial.10";"ЯЛК адрес 10: обрыв";-0.968069;"В";-6.2;-1e-12;"НОРМА";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=10; yalk_v=-0.968069"
"yalk_initial";"ubsi.yalk.signal.10.open";"ЯЛК адрес 10: сухой контакт разомкнут";1;"лог.";1;1;"НОРМА";"contact_mode=Разомкнуто; expected_signal=1; section=YALK; ulk_address=10"
"yalk_initial";"ubsi.yalk.initial.11";"ЯЛК адрес 11: обрыв";-0.968069;"В";-6.2;-1e-12;"НОРМА";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=11; yalk_v=-0.968069"
"yalk_initial";"ubsi.yalk.signal.11.open";"ЯЛК адрес 11: сухой контакт разомкнут";1;"лог.";1;1;"НОРМА";"contact_mode=Разомкнуто; expected_signal=1; section=YALK; ulk_address=11"
"yalk_initial";"ubsi.yalk.initial.12";"ЯЛК адрес 12: обрыв";-0.968069;"В";-6.2;-1e-12;"НОРМА";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=12; yalk_v=-0.968069"
