Этап;Пункт ТУ;Параметр;Адрес ЯЛК;Код ИСД;Raw;Код ЯЛК;Сигнал;В7, В;ЯЛК, В;Абсолютная погрешность, В;Приведённая погрешность, %;Относительная погрешность, %;Нижний допуск;Верхний допуск;Итог;Сообщение
"ЯВП-8 · выборочно K=1, полный ряд частот";"1.4.1, 1.4.7, 1.4.8, 1.4.14";"ЯВП 1: K=1.000000 мВ/пКл, 2.000000 Гц";"";"";"";"";"";"";"";"";"";"";0;0;"НЕ ВЫПОЛНЯЛОСЬ";"Диагностическое измерение В7; verdict формируется критериями K/АЧХ"
"ЯВП-8 · выборочно K=1, полный ряд частот";"1.4.1, 1.4.7, 1.4.8, 1.4.14";"ЯВП 1: K=1.000000 мВ/пКл, 6.000000 Гц";"";"";"";"";"";"";"";"";"";"";0;0;"НЕ ВЫПОЛНЯЛОСЬ";"Диагностическое измерение В7; verdict формируется критериями K/АЧХ"
"ЯВП-8 · выборочно K=1, полный ряд частот";"1.4.1, 1.4.7, 1.4.8, 1.4.14";"ЯВП 1: K=1.000000 мВ/пКл, 20.000000 Гц";"";"";"";"";"";"";"";"";"";"";0;0;"НЕ ВЫПОЛНЯЛОСЬ";"Диагностическое измерение В7; verdict формируется критериями K/АЧХ"
"ЯВП-8 · выборочно K=1, полный ряд частот";"1.4.1, 1.4.7, 1.4.8, 1.4.14";"ЯВП 1: K=1.000000 мВ/пКл, 500.000000 Гц";"";"";"";"";"";"";"";"";"";"";0;0;"НЕ ВЫПОЛНЯЛОСЬ";"Диагностическое измерение В7; verdict формируется критериями K/АЧХ"
"ЯВП-8 · выборочно K=1, полный ряд частот";"1.4.1, 1.4.7, 1.4.8, 1.4.14";"ЯВП 1: K=1.000000 мВ/пКл, 1800.000000 Гц";"";"";"";"";"";"";"";"";"";"";0;0;"НЕ ВЫПОЛНЯЛОСЬ";"Диагностическое измерение В7; verdict формируется критериями K/АЧХ"
"ЯВП-8 · выборочно K=1, полный ряд частот";"1.4.1, 1.4.7, 1.4.8, 1.4.14";"ЯВП 1: K=1.000000 мВ/пКл, 2000.000000 Гц";"";"";"";"";"";"";"";"";"";"";0;0;"НЕ ВЫПОЛНЯЛОСЬ";"Диагностическое измерение В7; verdict формируется критериями K/АЧХ"
"ЯВП-8 · выборочно K=1, полный ряд частот";"1.4.1, 1.4.7, 1.4.8, 1.4.14";"ЯВП 1: K=1.000000 мВ/пКл, 4000.000000 Гц";"";"";"";"";"";"";"";"";"";"";0;0;"НЕ ВЫПОЛНЯЛОСЬ";"Диагностическое измерение В7; verdict формируется критериями K/АЧХ"
"ЯВП-8 · выборочно K=1, полный ряд частот";"1.4.1, 1.4.7, 1.4.8, 1.4.14";"ЯВП 1: коэффициент при 500.000000 Гц";"";"";"";"";"";"";"";"";"";"";0.93;1.07;"НОРМА";"Норма"
"ЯВП-8 · выборочно K=1, полный ряд частот";"1.4.1, 1.4.7, 1.4.8, 1.4.14";"ЯВП 1: АЧХ 2.000000 Гц относительно 500 Гц";"";"";"";"";"";"";"";"";"";"";-10;10;"НЕ НОРМА";"Вне допуска АЧХ"
"ЯВП-8 · выборочно K=1, полный ряд частот";"1.4.1, 1.4.7, 1.4.8, 1.4.14";"ЯВП 1: АЧХ 6.000000 Гц относительно 500 Гц";"";"";"";"";"";"";"";"";"";"";-5;5;"НЕ НОРМА";"Вне допуска АЧХ"
"ЯВП-8 · выборочно K=1, полный ряд частот";"1.4.1, 1.4.7, 1.4.8, 1.4.14";"ЯВП 1: АЧХ 20.000000 Гц относительно 500 Гц";"";"";"";"";"";"";"";"";"";"";-5;5;"НЕ НОРМА";"Вне допуска АЧХ"
"ЯВП-8 · выборочно K=1, полный ряд частот";"1.4.1, 1.4.7, 1.4.8, 1.4.14";"ЯВП 1: АЧХ 1800.000000 Гц относительно 500 Гц";"";"";"";"";"";"";"";"";"";"";-5;5;"НОРМА";"Норма"
"ЯВП-8 · выборочно K=1, полный ряд частот";"1.4.1, 1.4.7, 1.4.8, 1.4.14";"ЯВП 1: АЧХ 2000.000000 Гц относительно 500 Гц";"";"";"";"";"";"";"";"";"";"";-10;10;"НОРМА";"Норма"
"ЯВП-8 · выборочно K=1, полный ряд частот";"1.4.1, 1.4.7, 1.4.8, 1.4.14";"ЯВП 1: затухание 4000 Гц относительно 500 Гц";"";"";"";"";"";"";"";"";"";"";20;1000000000;"НОРМА";"Норма"
"ЯВП-8 · выборочно K=1, полный ряд частот";"1.4.1, 1.4.7, 1.4.8, 1.4.14";"ЯВП 2: K=1.000000 мВ/пКл, 2.000000 Гц";"";"";"";"";"";"";"";"";"";"";0;0;"НЕ ВЫПОЛНЯЛОСЬ";"Диагностическое измерение В7; verdict формируется критериями K/АЧХ"
"ЯВП-8 · выборочно K=1, полный ряд частот";"1.4.1, 1.4.7, 1.4.8, 1.4.14";"ЯВП 2: K=1.000000 мВ/пКл, 6.000000 Гц";"";"";"";"";"";"";"";"";"";"";0;0;"НЕ ВЫПОЛНЯЛОСЬ";"Диагностическое измерение В7; verdict формируется критериями K/АЧХ"
