"CH","Kset","frequency","Rigol Vpp","V7 Vrms","Kmeas","deviation_percent","KU bits","type=2 contacts","raw_verdict","peer_ratio","golden_ratio"
"1","0,25","500","8","0,661365","0,233828","-6,4688","none","none","OK","0,995865","NOT_COMPARABLE"
"1","0,5","500","4","0,65476","0,462985","-7,403","KU1","1","FAIL","0,995444","NOT_COMPARABLE"
"1","1","2","2","0,061761","0,087343","-90,568892","KU2","2","FAIL","1,009827","NOT_COMPARABLE"
"1","1","6","2","0,318294","0,450136","-51,39529","KU2","2","FAIL","1","NOT_COMPARABLE"
"1","1","20","2","0,585463","0,82797","-10,597593","KU2","2","FAIL","1","NOT_COMPARABLE"
"1","1","500","2","0,654863","0,926116","-7,3884","KU2","2","FAIL","0,999143","NOT_COMPARABLE"
"1","1","1800","2","0,667872","0,944514","1,986576","KU2","2","OK","1","NOT_COMPARABLE"
"1","1","2000","2","0,688193","0,973252","5,089643","KU2","2","OK","1","NOT_COMPARABLE"
"1","1","4000","2","0,059161","0,083667","-90,965819","KU2","2","OK","1,025746","NOT_COMPARABLE"
"1","2","500","1","0,656123","1,855795","-7,21025","KU3","3","FAIL","0,999659","NOT_COMPARABLE"
"1","4","500","0,5","0,659044","3,728118","-6,79705","KU1+KU3","1,3","OK","0,995289","NOT_COMPARABLE"
"1","8","500","0,25","0,68323","7,729865","-3,376687","KU4","4","OK","0,991086","NOT_COMPARABLE"
"1","32","500","0,0625","0,890661","40,30671","25,958469","KU2+KU4","2,4","FAIL","0,990376","NOT_COMPARABLE"
"2","0,25","500","8","0,675946","0,238983","-4,4068","none","none","OK","1,017819","NOT_COMPARABLE"
"2","0,5","500","4","0,663213","0,468963","-6,2074","KU1","5","OK","1,008297","NOT_COMPARABLE"
"2","1","2","2","0,062484","0,088365","-90,538178","KU2","6","FAIL","1,021643","NOT_COMPARABLE"
"2","1","6","2","0,322076","0,455484","-51,228329","KU2","6","FAIL","1,011881","NOT_COMPARABLE"
"2","1","20","2","0,590739","0,835431","-10,544902","KU2","6","FAIL","1,009011","NOT_COMPARABLE"
"2","1","500","2","0,660375","0,933911","-6,6089","KU2","6","OK","1,007553","NOT_COMPARABLE"
"2","1","1800","2","0,677894","0,958687","2,652929","KU2","6","OK","1,015006","NOT_COMPARABLE"
"2","1","2000","2","0,699652","0,989457","5,947676","KU2","6","OK","1,01665","NOT_COMPARABLE"
"2","1","4000","2","0,058951","0,083369","-91,073132","KU2","6","OK","1,022092","NOT_COMPARABLE"
"2","2","500","1","0,664411","1,879238","-6,0381","KU3","7","OK","1,012287","NOT_COMPARABLE"
