Этап;Пункт ТУ;Параметр;Адрес УЛК;Код ИСД;Raw;Код ЯЛК;Сигнал;В7, В;ЯЛК, В;Абсолютная погрешность, В;Приведённая погрешность, %;Относительная погрешность, %;Нижний допуск;Верхний допуск;Итог;Сообщение
"Калибровка ЯЛК по адресам УЛК 97 и 99";"1.1.4.1, 1.1.4.14";"Калибровочная шкала ЯЛК";"";"";"";"";"";"";"";"";"";"";5.5;6.8;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 1: обрыв, аналоговый вход";"1";"";"1024.000000";"0.000000";"1";"";"-0.971178";"";"";"";-6.2;0;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 1: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 2: обрыв, аналоговый вход";"2";"";"1024.000000";"0.000000";"1";"";"-0.971178";"";"";"";-6.2;0;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 2: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 3: обрыв, аналоговый вход";"3";"";"1024.000000";"0.000000";"1";"";"-0.971178";"";"";"";-6.2;0;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 3: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 4: обрыв, аналоговый вход";"4";"";"1024.000000";"0.000000";"1";"";"-0.971178";"";"";"";-6.2;0;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 4: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 5: обрыв, аналоговый вход";"5";"";"1024.000000";"0.000000";"1";"";"-0.971178";"";"";"";-6.2;0;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 5: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 6: обрыв, аналоговый вход";"6";"";"1024.000000";"0.000000";"1";"";"-0.971178";"";"";"";-6.2;0;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 6: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 7: обрыв, аналоговый вход";"7";"";"1024.000000";"0.000000";"1";"";"-0.971178";"";"";"";-6.2;0;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 7: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 8: обрыв, аналоговый вход";"8";"";"1024.000000";"0.000000";"1";"";"-0.971178";"";"";"";-6.2;0;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 8: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"НОРМА";""
