Этап;Пункт ТУ;Параметр;Адрес УЛК;Код ИСД;Raw;Код ЯЛК;Сигнал;В7, В;ЯЛК, В;Абсолютная погрешность, В;Приведённая погрешность, %;Относительная погрешность, %;Нижний допуск;Верхний допуск;Итог;Сообщение
"Калибровка ЯЛК по адресам УЛК 97 и 99";"1.1.4.1, 1.1.4.14";"Калибровочная шкала ЯЛК";"";"";"";"";"";"";"";"";"";"";5.5;6.8;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 1: исходное напряжение";"1";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 1: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 2: исходное напряжение";"2";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 2: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 3: исходное напряжение";"3";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 3: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 4: исходное напряжение";"4";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 4: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 5: исходное напряжение";"5";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 5: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 6: исходное напряжение";"6";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 6: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 7: исходное напряжение";"7";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 7: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 8: исходное напряжение";"8";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 8: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
