Этап;Параметр;Наименование;Измерено;Единица;Нижняя граница;Верхняя граница;Результат;Атрибуты
"readiness";"ubsi.ready_time";"Время готовности";2.91051;"с";0;30;"OK";""
"supply_range";"ubsi.supply.voltage";"Фактическое питание при уставке 24.000000 В";23.989;"В";23.5;24.5;"OK";"setpoint_v=24.000000; supply_current_a=0.177000"
"supply_range";"ubsi.supply.total_current";"Общий ток потребления УБСИ при 24.000000 В";0.177;"А";0;0.4;"OK";"hardware_current_limit_a=0.600000; measurement_scope=whole_ubsi; setpoint_v=24.000000"
"supply_range";"ubsi.supply.data_alive";"Передача данных при 24.000000 В";1;"лог.";1;1;"OK";""
"supply_range";"ubsi.supply.voltage";"Фактическое питание при уставке 27.000000 В";26.979;"В";26.5;27.5;"OK";"setpoint_v=27.000000; supply_current_a=0.159000"
"supply_range";"ubsi.supply.total_current";"Общий ток потребления УБСИ при 27.000000 В";0.159;"А";0;0.4;"OK";"hardware_current_limit_a=0.600000; measurement_scope=whole_ubsi; setpoint_v=27.000000"
"supply_range";"ubsi.supply.data_alive";"Передача данных при 27.000000 В";1;"лог.";1;1;"OK";""
"supply_range";"ubsi.supply.voltage";"Фактическое питание при уставке 35.000000 В";34.999;"В";34.5;35.5;"OK";"setpoint_v=35.000000; supply_current_a=0.135000"
"supply_range";"ubsi.supply.total_current";"Общий ток потребления УБСИ при 35.000000 В";0.135;"А";0;0.4;"OK";"hardware_current_limit_a=0.600000; measurement_scope=whole_ubsi; setpoint_v=35.000000"
"supply_range";"ubsi.supply.data_alive";"Передача данных при 35.000000 В";1;"лог.";1;1;"OK";""
"yalk_calibration";"ubsi.yalk.calibration";"Опорное воздействие калибровки ЯЛК";6.14509;"В";5.5;6.8;"OK";"full_address=99; full_code=923.000000; scale_voltage_v=6.200000; stimulus_command_v=6.200000; v7_v=6.145092; zero_address=97; zero_code=124.562500"
