Информативность,Параметр,Поток,А,В,С,D,E,X,T,P,Полный адрес,Категория,Информативность_зу,Поток_зу,А_зу,В_зу,С_зу,D_зу,E_зу,X_зу,T_зу,P_зу,Полный адрес_зу
16,free,П2,80,80,11,42,12,,,,,Служебные,,,,,,,,,,,
16,free,П2,80,80,11,42,22,,,,,Служебные,,,,,,,,,,,
16,free,П2,80,80,11,22,,,,,M16П2A80B80C11D22E12T05P01,Служебные,,,,,,,,,,,
16,Служебная инф. внешнего абонента (ВА),П1,11,11,,,,,,,,Служебные,,,,,,,,,,,
16,Параметр В1,П1,11,21,,,,,21,1,М16П1A11B21T21,Высокочастотные и быстроменяющиеся,,,,,,,,,,,
16,Параметр В2,П1,11,31,,,,,21,1,М16П1A11B31T21,Высокочастотные и быстроменяющиеся,,,,,,,,,,,
16,Параметр В3,П1,11,41,,,,,21,1,М16П1A11B41T21,Высокочастотные и быстроменяющиеся,,,,,,,,,,,
16,Параметр В4,П1,20,12,,,,,21,1,М16П1A20B12T21,Высокочастотные и быстроменяющиеся,,,,,,,,,,,
16,Параметр В5,П1,20,22,,,,,21,1,М16П1A20B22T21,Высокочастотные и быстроменяющиеся,,,,,,,,,,,
16,Параметр В6,П1,30,12,,,,,21,1,М16П1A30B12T21,Высокочастотные и быстроменяющиеся,,,,,,,,,,,
16,Параметр В7,П1,30,22,,,,,21,1,М16П1A30B22T21,Высокочастотные и быстроменяющиеся,,,,,,,,,,,
16,Параметр В8,П1,40,12,,,,,21,1,М16П1A40B12T21,Высокочастотные и быстроменяющиеся,,,,,,,,,,,
16,Параметр В9,П1,40,22,,,,,21,1,М16П1A40B22T21,Высокочастотные и быстроменяющиеся,,,,,,,,,,,
16,Параметр В10,П1,60,12,,,,,21,1,М16П1A60B12T21,Высокочастотные и быстроменяющиеся,,,,,,,,,,,
16,Параметр В11,П1,60,22,,,,,21,1,М16П1A60B22T21,Высокочастотные и быстроменяющиеся,,,,,,,,,,,
16,Параметр В12,П1,80,12,,,,,21,1,М16П1A80B12T21,Высокочастотные и быстроменяющиеся,,,,,,,,,,,
16,Параметр В13,П1,80,22,,,,,21,1,М16П1A80B22T21,Высокочастотные и быстроменяющиеся,,,,,,,,,,,
16,Параметр В14,П2,70,12,,,,,21,1,М16П2A70B12T21,Высокочастотные и быстроменяющиеся,,,,,,,,,,,
16,Параметр В15,П2,80,11,,,,,1,1,,Высокочастотные и быстроменяющиеся,,,,,,,,,,,
16,Параметр В16,П2,80,31,,,,,1,1,,Высокочастотные и быстроменяющиеся,,,,,,,,,,,
,Калибровка БСИ,П1,70,12,10,10,,,1,1,,БСИ МКА-1 аналоговые,,П1,70,22,10,10,,,1,1,
,Параметр А1,П1,70,12,20,10,,,1,1,,БСИ МКА-1 аналоговые,,П1,70,22,20,10,,,1,1,
